sku,fecha,demanda
A2,2024-07-29,5460
A2,2024-08-05,2304
A2,2024-08-12,1590
A2,2024-08-19,5576
A2,2024-08-26,2189
A2,2024-09-02,3156
A2,2024-09-09,0
A2,2024-09-16,3456
A2,2024-09-23,852
A2,2024-09-30,2557
A2,2024-10-07,138
A2,2024-10-14,2004
A2,2024-10-21,1359
A2,2024-10-28,2857
A2,2024-11-04,622
A2,2024-11-11,1705
A2,2024-11-18,5276
A2,2024-11-25,6013
A2,2024-12-02,1267
A2,2024-12-09,2972
A2,2024-12-16,4516
A2,2024-12-23,6636
A2,2024-12-30,92
A3,2022-01-03,0
A3,2022-01-10,0
A3,2022-01-17,0
A3,2022-01-24,1264
A3,2022-01-31,0
A3,2022-02-07,0
A3,2022-02-14,0
A3,2022-02-21,0
A3,2022-02-28,253
A3,2022-03-07,0
A3,2022-03-14,0
A3,2022-03-21,0
A3,2022-03-28,0
A3,2022-04-04,0
A3,2022-04-11,0
A3,2022-04-18,0
A3,2022-04-25,0
A3,2022-05-02,0
A3,2022-05-09,0
A3,2022-05-16,0
A3,2022-05-23,0
A3,2022-05-30,303
A3,2022-06-06,0
A3,2022-06-13,0
A3,2022-06-20,0
A3,2022-06-27,0
A3,2022-07-04,0
A3,2022-07-11,0
A3,2022-07-18,935
A3,2022-07-25,0
A3,2022-08-01,0
A3,2022-08-08,4272
A3,2022-08-15,1315
A3,2022-08-22,202
A3,2022-08-29,101
A3,2022-09-05,51
A3,2022-09-12,0
A3,2022-09-19,76
A3,2022-09-26,0
A3,2022-10-03,0
A3,2022-10-10,0
A3,2022-10-17,0
A3,2022-10-24,0
A3,2022-10-31,0
A3,2022-11-07,126
A3,2022-11-14,0
A3,2022-11-21,126
A3,2022-11-28,0
A3,2022-12-05,76
A3,2022-12-12,0
A3,2022-12-19,0
A3,2022-12-26,0
A3,2023-01-02,0
A3,2023-01-09,0
A3,2023-01-16,0
A3,2023-01-23,0
A3,2023-01-30,0
A3,2023-02-06,0
A3,2023-02-13,303
