sku,descripcion,stock,fecha
CL-SKL-1,Dukier Skulls Collar XS,0,2025-04-07
CL-SKL-2,Dukier Skulls Collar S,0,2025-04-07
CL-SKL-3,Dukier Skulls Collar M,0,2025-04-07
CL-SKL-4,Dukier Skulls Collar L,0,2025-04-07
CL-SVN-1,Dukier Savana Collar XS,0,2025-04-07
CL-SVN-2,Dukier Savana Collar S,0,2025-04-07
CL-SVN-3,Dukier Savana Collar M,0,2025-04-07
CL-SVN-4,Dukier Savana Collar L,0,2025-04-07
CL-CPK-1,Dukier Cupcakes Collar XS,95,2025-04-07
CL-CPK-2,Dukier Cupcakes Collar S,0,2025-04-07
CL-CPK-3,Dukier Cupcakes Collar M,0,2025-04-07
CL-CPK-4,Dukier Cupcakes Collar L,16,2025-04-07
CL-SPD-1,Dukier Superdog Collar XS,184,2025-04-07
CL-SPD-2,Dukier Superdog Collar S,78,2025-04-07
CL-SPD-3,Dukier Superdog Collar M,93,2025-04-07
CL-SPD-4,Dukier Superdog Collar L,142,2025-04-07
CL-CMO-1,Dukier Camo Collar XS,171,2025-04-07
CL-CMO-2,Dukier Camo Collar S,151,2025-04-07
CL-CMO-3,Dukier Camo Collar M,76,2025-04-07
CL-CMO-4,Dukier Camo Collar L,139,2025-04-07
CL-DGT-1,Dukier Dogtella Collar XS,0,2025-04-07
CL-DGT-2,Dukier Dogtella Collar S,0,2025-04-07
CL-DGT-3,Dukier Dogtella Collar M,0,2025-04-07
CL-DGT-4,Dukier Dogtella Collar L,80,2025-04-07
CL-SPC-1,Dukier Space Collar XS,3,2025-04-07
CL-SPC-2,Dukier Space Collar S,0,2025-04-07
CL-SPC-3,Dukier Space Collar M,0,2025-04-07
CL-SPC-4,Dukier Space Collar L,0,2025-04-07
CL-NGR-1,Dukier Nigiri Collar XS,39,2025-04-07
CL-NGR-2,Dukier Nigiri Collar S,0,2025-04-07
CL-NGR-3,Dukier Nigiri Collar M,0,2025-04-07
CL-NGR-4,Dukier Nigiri Collar L,0,2025-04-07
CL-HDG-1,Dukier Heladog Collar XS,0,2025-04-07
CL-HDG-2,Dukier Heladog Collar S,0,2025-04-07
CL-HDG-3,Dukier Heladog Collar M,0,2025-04-07
CL-HDG-4,Dukier Heladog Collar L,0,2025-04-07
CL-AVC-1,Dukier Avocado Collar XS,185,2025-04-07
CL-AVC-2,Dukier Avocado Collar S,117,2025-04-07
CL-AVC-3,Dukier Avocado Collar M,165,2025-04-07
CL-AVC-4,Dukier Avocado Collar L,92,2025-04-07
CL-NEO-1,Dukier Neón Collar XS,0,2025-04-07
CL-NEO-2,Dukier Neón Collar S,0,2025-04-07
CL-NEO-3,Dukier Neón Collar M,0,2025-04-07
CL-NEO-4,Dukier Neón Collar L,0,2025-04-07
AR-SKL-1,Dukier Skulls Arnés Reversible XS,0,2025-04-07
AR-SKL-2,Dukier Skulls Arnés Reversible S,0,2025-04-07
AR-SKL-3,Dukier Skulls Arnés Reversible M,0,2025-04-07
AR-SKL-4,Dukier Skulls Arnés Reversible L,0,2025-04-07
AR-SKL-5,Dukier Skulls Arnés Reversible XL,0,2025-04-07
AR-SVN-1,Dukier Savana Arnés Reversible XS,0,2025-04-07
AR-SVN-2,Dukier Savana Arnés Reversible S,0,2025-04-07
AR-SVN-3,Dukier Savana Arnés Reversible M,0,2025-04-07
AR-SVN-4,Dukier Savana Arnés Reversible L,0,2025-04-07
AR-SVN-5,Dukier Savana Arnés Reversible XL,3,2025-04-07
AR-CPK-1,Dukier Cupcakes Arnés Reversible XS,59,2025-04-07
AR-CPK-2,Dukier Cupcakes Arnés Reversible S,8,2025-04-07
AR-CPK-3,Dukier Cupcakes Arnés Reversible M,0,2025-04-07
AR-CPK-4,Dukier Cupcakes Arnés Reversible L,0,2025-04-07
AR-CPK-5,Dukier Cupcakes Arnés Reversible XL,112,2025-04-07
AR-SPD-1,Dukier Superdog Arnés Reversible XS,68,2025-04-07
AR-SPD-2,Dukier Superdog Arnés Reversible S,0,2025-04-07
AR-SPD-3,Dukier Superdog Arnés Reversible M,200,2025-04-07
AR-SPD-4,Dukier Superdog Arnés Reversible L,94,2025-04-07
AR-SPD-5,Dukier Superdog Arnés Reversible XL,155,2025-04-07
AR-CMO-1,Dukier Camo Arnés Reversible XS,171,2025-04-07
AR-CMO-2,Dukier Camo Arnés Reversible S,147,2025-04-07
AR-CMO-3,Dukier Camo Arnés Reversible M,0,2025-04-07
AR-CMO-4,Dukier Camo Arnés Reversible L,112,2025-04-07
AR-CMO-5,Dukier Camo Arnés Reversible XL,168,2025-04-07
AR-DGT-1,Dukier Dogtella Arnés Reversible XS,68,2025-04-07
AR-DGT-2,Dukier Dogtella Arnés Reversible S,475,2025-04-07
