mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,24,0,113,89,0,0
2025-05-01,24,0,89,65,0,0
2025-06-01,24,50,65,91,0,0
2025-07-01,24,0,91,67,0,0
2025-08-01,24,0,67,43,0,0
2025-09-01,24,0,43,19,0,0
