mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,14,0,62,48,0,0
2025-05-01,14,0,48,34,0,0
2025-06-01,14,0,34,20,0,0
2025-07-01,14,0,20,6,0,0
2025-08-01,14,50,6,42,0,0
2025-09-01,14,0,42,28,0,0
