mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,20,0,71,51,0,0
2025-05-01,20,50,51,81,0,0
2025-06-01,20,100,81,161,0,0
2025-07-01,20,80,161,221,0,0
2025-08-01,20,0,221,201,0,0
2025-09-01,20,0,201,181,0,0
