mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,23,0,112,89,0,0
2025-05-01,23,0,89,66,0,0
2025-06-01,23,0,66,43,0,0
2025-07-01,23,0,43,20,0,0
2025-08-01,23,80,20,77,0,0
2025-09-01,23,0,77,54,0,0
