mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,26,0,16,0,10,140
2025-05-01,26,0,0,0,26,364
2025-06-01,26,100,0,74,0,0
2025-07-01,26,0,74,48,0,0
2025-08-01,26,0,48,22,0,0
2025-09-01,26,0,22,0,4,56
