mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,22,0,208,186,0,0
2025-05-01,22,0,186,164,0,0
2025-06-01,22,0,164,142,0,0
2025-07-01,22,0,142,120,0,0
2025-08-01,22,0,120,98,0,0
2025-09-01,22,0,98,76,0,0
