mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,22,0,29,7,0,0
2025-05-01,22,0,7,0,15,195
2025-06-01,22,100,0,78,0,0
2025-07-01,22,0,78,56,0,0
2025-08-01,22,0,56,34,0,0
2025-09-01,22,0,34,12,0,0
