mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,11,0,300,289,0,0
2025-05-01,11,0,289,278,0,0
2025-06-01,11,0,278,267,0,0
2025-07-01,11,0,267,256,0,0
2025-08-01,11,0,256,245,0,0
2025-09-01,11,0,245,234,0,0
