mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,15,0,117,102,0,0
2025-05-01,15,0,102,87,0,0
2025-06-01,15,0,87,72,0,0
2025-07-01,15,0,72,57,0,0
2025-08-01,15,0,57,42,0,0
2025-09-01,15,0,42,27,0,0
