mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,18,0,180,162,0,0
2025-05-01,18,0,162,144,0,0
2025-06-01,18,0,144,126,0,0
2025-07-01,18,0,126,108,0,0
2025-08-01,18,0,108,90,0,0
2025-09-01,18,0,90,72,0,0
