mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,200,0,121,0,79,1106
2025-05-01,200,100,0,0,100,1400
2025-06-01,200,100,0,0,100,1400
2025-07-01,200,330,0,130,0,0
2025-08-01,200,350,130,280,0,0
2025-09-01,200,0,280,80,0,0
