mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,16,0,87,71,0,0
2025-05-01,16,0,71,55,0,0
2025-06-01,16,70,55,109,0,0
2025-07-01,16,0,109,93,0,0
2025-08-01,16,0,93,77,0,0
2025-09-01,16,0,77,61,0,0
