mes,forecast,repos_aplicadas,stock_inicial_mes,stock_final_mes,unidades_perdidas,perdida_proyectada_euros
2025-04-01,156,0,0,0,156,2028
2025-05-01,156,90,0,0,66,858
2025-06-01,156,250,0,94,0,0
2025-07-01,156,230,94,168,0,0
2025-08-01,156,0,168,12,0,0
2025-09-01,156,0,12,0,144,1872
